"类型","题目","选项","答案"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》跨行批量代收业务交易金额在5000元-20000元（含），收取的服务指导价格为（   ）元/笔。","a：0
b：0.7
c：1.2
d：1.7","d：1.7"
"单选题","缴费通合作方（收款方）通过（   ）上传应收账单信息。","a：对公网银
b：个人网银
c：手机银行
d：微信公众号","a：对公网银"
"判断题","对公账户兑出至数字人民币对公钱包，视同于支取现金。","a：正确
b：错误","a：正确"
"单选题","我行采取的资金清算模式是（   ），即总行清算中心与网上支付跨行清算系统连接，本行所有客户办理的业务均通过一个参与者处理，并通过一个清算账户进行结算。","a：一点接入，多点清算
b：多点接入，多点清算
c：一点接入，一点清算
d：多点接入，一点清算","d：多点接入，一点清算"
"单选题","硬件钱包的类型不包含哪一种？（   ）","a：账户型
b：准账户型
c：价值型
d：卡片型","d：卡片型"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"单选题","代收业务在坚持（   ）理念的基础上，通过对收款人、场景、付款人、授权关系的全面管理，以提高支付便捷性和效率为手段，最终达到保障合规、安全，兼顾公众需要，回归“小额便民”的发展目标。","a：支付为民
b：一个民生
c：统一支付
d：便民惠民","a：支付为民"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"单选题","代收业务在坚持（   ）理念的基础上，通过对收款人、场景、付款人、授权关系的全面管理，以提高支付便捷性和效率为手段，最终达到保障合规、安全，兼顾公众需要，回归“小额便民”的发展目标。","a：支付为民
b：一个民生
c：统一支付
d：便民惠民","a：支付为民"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"单选题","乐收银可支持数字人民币扫码支付，其中Android版本在（   ）下载。","a：应用市场
b：乐收银官网
c：民生银行官网
d：以上所有","b：乐收银官网"
"单选题","经营机构若发现通过民生付平台进行的疑似银行卡套现、洗钱、欺诈等风险事件，可向总行申请对签约商户采取（   ）、暂停民生付业务等措施；发现涉嫌违法犯罪活动的，应及时向公安机关报案。","a：上诉
b：延迟资金结算
c：追款
d：拒付","b：延迟资金结算"
"判断题","特约商户资质审核、受理协议签订可委托外包合作机构办理。","a：正确
b：错误","b：错误"
"判断题","收付易中的数字人民币代付业务，对于账户-钱包模式，无业务类型限制。","a：正确
b：错误","b：错误"
"判断题","“两两授权”是指付款人与收款人、付款人与付款人开户机构、收款人与代收机构分别签订代收服务协议。该种授权模式属于弱授权。","a：正确
b：错误","a：正确"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》跨行银联扫码支付业务贷记卡服务指导价格为（   ）。","a：0
b：0.10%
c：0.40%
d：0.50%","d：0.50%"
"多选题","“乐收银”账簿支持的账簿功能包括但不限于：（   ）。","a：子账簿开立及注销
b：子账簿信息查询
c：子账簿记账明细查询
d：原路退款登记
e：子账簿记账调整","a：子账簿开立及注销
b：子账簿信息查询
c：子账簿记账明细查询
d：原路退款登记
e：子账簿记账调整"
"多选题","哪些对公账户支持兑出至数字人民币对公钱包？（   ）","a：基本户
b：一般户
c：可支取现金的临时户
d：可支取现金的专用户","a：基本户
c：可支取现金的临时户
d：可支取现金的专用户"
"单选题","快捷支付限额与（   ）互不冲突，单独控制，快捷支付不占用网银支付限额。","a：转账限额
b：网上支付限额
c：缴费限额
d：查询限额","b：网上支付限额"
"多选题","智能兑回功能包括哪几种类型？（   ）","a：实时兑回
b：定额兑回
c：保底兑回
d：以上都是","b：定额兑回
c：保底兑回"
"判断题","经营机构应定期将商户档案电子化并妥善保管。","a：正确
b：错误","a：正确"
"多选题","民生付向商户提供基于银行账户、非银行支付账户或权益账户的网络支付收单产品，包括但不限于（   ）、（   ）、（   ）等，且跟随业务发展不断拓展。","a：网关类支付产品
b：协议类支付产品
c：权益类支付产品
d：扫码支付产品","a：网关类支付产品
b：协议类支付产品
c：权益类支付产品"
"判断题","宝付易锁定资金无法对抗司法。","a：正确
b：错误","a：正确"
"判断题","发生数字人民币风险事件时，要第一时间口头向数研所报告，如实说明事件发生事件、风险损失、涉及钱包及客户、采取措施等情况，并于5小时内提交书面报告。","a：正确
b：错误","a：正确"
"单选题","关于银联手机闪付移动支付卡，下列说法正确的是：（   ）。","a：绑定卡挂失后，对应的移动支付卡可以正常消费
b：绑定卡注销后，对应的移动支付卡可以正常消费
c：绑定卡状态不正常，会影响移动支付卡的使用
d：移动支付卡和绑定卡没有关系","c：绑定卡状态不正常，会影响移动支付卡的使用"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》跨行银联卡支付贷记卡服务指导价格为（   ）。","a：0
b：0.10%
c：0.20%
d：0.45%","d：0.45%"
"单选题","B2B支付的限额复用该客户（   ）的转账限额。","a：快捷支付
b：手机银行
c：企业网银
d：个人网银","c：企业网银"
"单选题","以下说法不正确的是（   ）。","a：乐收银提供T+1（下一个工作日）、T+0（实时入账）、D+1（下一个自然日）等结算模式
b：数字人民币业务执行T+0结算
c：T+0和D+1结算产生的垫资成本（如有）由总行承担
d：乐收银按协议约定的结算模式及时将交易资金结算到商户的结算账户","c：T+0和D+1结算产生的垫资成本（如有）由总行承担"
"判断题","禁止发展的商户（一） 非银行支付机构、金融同业及平台类商户；（二） 互联网金融类的商户；（三） 非省级批文以上交易所类型商户；（四） 商户存在失信记录或历史媒体声誉不良的商户。","a：正确
b：错误","b：错误"
"判断题","缴费通可广泛应用于有批量收款需求的业务场景。如：校园学杂费代收、企业收款、物管费代收等。","a：正确
b：错误","a：正确"
"单选题","根据《中国人民银行关于规范代收业务的通知》（银发[2020]248号，《中国民生银行收付易业务管理办法》、《网络支付特约商户收单与服务管理办法》等内外制度规范，各分行拓展的（   ）商户，均须在本指引相关要求下拓展业务。","a：一级
b：二级
c：三级
d：一、二级","d：一、二级"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》跨行批量代收业务交易金额在1000元-5000元（含），收取的服务指导价格为（   ）元/笔。","a：0
b：0.5
c：0.7
d：1.2","d：1.2"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"判断题","禁止发展的商户（一） 非银行支付机构、金融同业及平台类商户；（二） 互联网金融类的商户；（三） 非省级批文以上交易所类型商户；（四） 商户存在失信记录或历史媒体声誉不良的商户。","a：正确
b：错误","b：错误"
"单选题","根据《中国人民银行关于规范代收业务的通知》（银发[2020]248号，《中国民生银行收付易业务管理办法》、《网络支付特约商户收单与服务管理办法》等内外制度规范，各分行拓展的（   ）商户，均须在本指引相关要求下拓展业务。","a：一级
b：二级
c：三级
d：一、二级","d：一、二级"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"单选题","我行客户身份识别工作包含哪些个方面，实施全生命周期管理？（   ）","a：首次识别、重新识别
b：初次识别、再次识别
c：初次识别、持续识别、重新识别
d：持续识别、重新识别、中止关系","c：初次识别、持续识别、重新识别"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
